"Kantons_Nr","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Nein_Stimmen_In_Prozent_Kanton","Kanton_color","Gemeinden_overall","Gemeinden_counted","Legende"
1,"Zürich","Zurich","Zurigo",28.6,71.4,0,162,139,"139/162"
2,"Bern","Berne","Berna",0,0,50,334,0,"0/334"
3,"Luzern","Lucerne","Lucerna",31.7,68.3,0,80,76,"76/80"
4,"Uri","Uri","Uri",0,0,50,19,0,"0/19"
5,"Schwyz","Schwyz","Svitto",23.1,76.9,0,30,27,"27/30"
6,"Obwalden","Obwald","Obvaldo",24.1,75.9,0,7,5,"5/7"
7,"Nidwalden","Nidwald","Nidvaldo",22.6,77.4,22.6,11,11,
8,"Glarus","Glaris","Glarona",32.6,67.4,32.6,3,3,
9,"Zug","Zoug","Zugo",0,0,50,11,0,"0/11"
10,"Freiburg","Fribourg","Friburgo",36.5,63.5,0,128,100,"100/128"
11,"Solothurn","Soleure","Soletta",32.2,67.8,0,107,100,"100/107"
12,"Basel-Stadt","Bâle-Ville","Basilea Città",0,0,50,3,0,"0/3"
13,"Basel-Landschaft","Bâle-Campagne","Basilea Campagna",31.6,68.4,0,86,78,"78/86"
14,"Schaffhausen","Schaffhouse","Sciaffusa",34.8,65.2,34.8,26,26,
15,"Appenzell Ausserrhoden","Appenzell Rhodes-Extérieures","Appenzello Esterno",31,69,31,20,20,
16,"Appenzell Innerrhoden","Appenzell Rhodes-Intérieures","Appenzello Interno",0,0,50,6,0,"0/6"
17,"St. Gallen","Saint-Gall","San Gallo",28.6,71.4,0,77,56,"56/77"
18,"Graubünden","Grisons","Grigioni",29.2,70.8,29.2,101,101,
19,"Aargau","Argovie","Argovia",31.1,68.9,0,210,34,"34/210"
20,"Thurgau","Thurgovie","Turgovia",0,0,50,80,0,"0/80"
21,"Tessin","Tessin","Ticino",33.4,66.6,0,108,20,"20/108"
22,"Waadt","Vaud","Vaud",38.8,61.2,0,302,290,"290/302"
23,"Wallis","Valais","Vallese",28.9,71.1,0,122,119,"119/122"
24,"Neuenburg","Neuchâtel","Neuchâtel",0,0,50,27,0,"0/27"
25,"Genf","Genève","Ginevra",0,0,50,45,0,"0/45"
26,"Jura","Jura","Giura",45.6,54.4,0,53,48,"48/53"
