"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de non","Nein in %","Percentuale di no"
"1","Zwischbergen","Zwischbergen","Zwischbergen","VS",7.692307692,"Zwischbergen","Zwischbergen","Zwischbergen","VS","VS","VS",92.307692308,92.307692308,92.307692308
"2","Wollerau","Wollerau","Wollerau","SZ",12.784900285,"Wollerau","Wollerau","Wollerau","SZ","SZ","SZ",87.215099715,87.215099715,87.215099715
"3","Treytorrens (Payerne)","Treytorrens (Payerne)","Treytorrens (Payerne)","VD",13.461538462,"Treytorrens (Payerne)","Treytorrens (Payerne)","Treytorrens (Payerne)","VD","VD","VD",86.538461538,86.538461538,86.538461538
"4","Greng","Greng","Greng","FR",13.541666667,"Greng","Greng","Greng","FR","FR","FR",86.458333333,86.458333333,86.458333333
"5","Schönengrund","Schönengrund","Schönengrund","AR",13.675213675,"Schönengrund","Schönengrund","Schönengrund","AR","AR","AR",86.324786325,86.324786325,86.324786325
"6","Bourg-Saint-Pierre","Bourg-Saint-Pierre","Bourg-Saint-Pierre","VS",13.888888889,"Bourg-Saint-Pierre","Bourg-Saint-Pierre","Bourg-Saint-Pierre","VS","VS","VS",86.111111111,86.111111111,86.111111111
"7","Cama","Cama","Cama","GR",14.150943396,"Cama","Cama","Cama","GR","GR","GR",85.849056604,85.849056604,85.849056604
"8","Furna","Furna","Furna","GR",14.285714286,"Furna","Furna","Furna","GR","GR","GR",85.714285714,85.714285714,85.714285714
"9","Feusisberg","Feusisberg","Feusisberg","SZ",14.556962025,"Feusisberg","Feusisberg","Feusisberg","SZ","SZ","SZ",85.443037975,85.443037975,85.443037975
"10","Bedretto","Bedretto","Bedretto","TI",14.583333333,"Bedretto","Bedretto","Bedretto","TI","TI","TI",85.416666667,85.416666667,85.416666667
"11","Niederbüren","Niederbüren","Niederbüren","SG",14.696485623,"Niederbüren","Niederbüren","Niederbüren","SG","SG","SG",85.303514377,85.303514377,85.303514377
"12","Geltwil","Geltwil","Geltwil","AG",14.736842105,"Geltwil","Geltwil","Geltwil","AG","AG","AG",85.263157895,85.263157895,85.263157895
"13","Dully","Dully","Dully","VD",14.932126697,"Dully","Dully","Dully","VD","VD","VD",85.067873303,85.067873303,85.067873303
"14","Hergiswil (NW)","Hergiswil NW","Hergiswil NW","NW",15.004262575,"Hergiswil (NW)","Hergiswil NW","Hergiswil NW","NW","NW","NW",84.995737425,84.995737425,84.995737425
"15","Zermatt","Zermatt","Zermatt","VS",15.987460815,"Zermatt","Zermatt","Zermatt","VS","VS","VS",84.012539185,84.012539185,84.012539185
"16","Saas-Grund","Saas-Grund","Saas-Grund","VS",16,"Saas-Grund","Saas-Grund","Saas-Grund","VS","VS","VS",84,84,84
"17","Rougemont","Rougemont","Rougemont","VD",16.346153846,"Rougemont","Rougemont","Rougemont","VD","VD","VD",83.653846154,83.653846154,83.653846154
"18","Saas-Balen","Saas-Balen","Saas-Balen","VS",16.455696203,"Saas-Balen","Saas-Balen","Saas-Balen","VS","VS","VS",83.544303797,83.544303797,83.544303797
"19","Schupfart","Schupfart","Schupfart","AG",16.666666667,"Schupfart","Schupfart","Schupfart","AG","AG","AG",83.333333333,83.333333333,83.333333333
"20","Ergisch","Ergisch","Ergisch","VS",16.666666667,"Ergisch","Ergisch","Ergisch","VS","VS","VS",83.333333333,83.333333333,83.333333333
"21","Flühli","Flühli","Flühli","LU",16.765578635,"Flühli","Flühli","Flühli","LU","LU","LU",83.234421365,83.234421365,83.234421365
"22","Muotathal","Muotathal","Muotathal","SZ",16.797153025,"Muotathal","Muotathal","Muotathal","SZ","SZ","SZ",83.202846975,83.202846975,83.202846975
"23","Winkel","Winkel","Winkel","ZH",16.812339332,"Winkel","Winkel","Winkel","ZH","ZH","ZH",83.187660668,83.187660668,83.187660668
"24","Neerach","Neerach","Neerach","ZH",16.974169742,"Neerach","Neerach","Neerach","ZH","ZH","ZH",83.025830258,83.025830258,83.025830258
"25","Bettwil","Bettwil","Bettwil","AG",17.054263566,"Bettwil","Bettwil","Bettwil","AG","AG","AG",82.945736434,82.945736434,82.945736434
"26","Alpthal","Alpthal","Alpthal","SZ",17.083333333,"Alpthal","Alpthal","Alpthal","SZ","SZ","SZ",82.916666667,82.916666667,82.916666667
"27","Raperswilen","Raperswilen","Raperswilen","TG",17.088607595,"Raperswilen","Raperswilen","Raperswilen","TG","TG","TG",82.911392405,82.911392405,82.911392405
"28","Hüttikon","Hüttikon","Hüttikon","ZH",17.159763314,"Hüttikon","Hüttikon","Hüttikon","ZH","ZH","ZH",82.840236686,82.840236686,82.840236686
"29","Lantsch/Lenz","Lantsch/Lenz","Lantsch/Lenz","GR",17.2,"Lantsch/Lenz","Lantsch/Lenz","Lantsch/Lenz","GR","GR","GR",82.8,82.8,82.8
"30","Rothenthurm","Rothenthurm","Rothenthurm","SZ",17.232704403,"Rothenthurm","Rothenthurm","Rothenthurm","SZ","SZ","SZ",82.767295597,82.767295597,82.767295597
"31","Eich","Eich","Eich","LU",17.245989305,"Eich","Eich","Eich","LU","LU","LU",82.754010695,82.754010695,82.754010695
"32","Villars-Epeney","Villars-Epeney","Villars-Epeney","VD",17.391304348,"Villars-Epeney","Villars-Epeney","Villars-Epeney","VD","VD","VD",82.608695652,82.608695652,82.608695652
"33","Ennetbürgen","Ennetbürgen","Ennetbürgen","NW",17.469586375,"Ennetbürgen","Ennetbürgen","Ennetbürgen","NW","NW","NW",82.530413625,82.530413625,82.530413625
"34","Fieschertal","Fieschertal","Fieschertal","VS",17.5,"Fieschertal","Fieschertal","Fieschertal","VS","VS","VS",82.5,82.5,82.5
"35","Sufers","Sufers","Sufers","GR",17.543859649,"Sufers","Sufers","Sufers","GR","GR","GR",82.456140351,82.456140351,82.456140351
"36","Habsburg","Habsburg","Habsburg","AG",17.543859649,"Habsburg","Habsburg","Habsburg","AG","AG","AG",82.456140351,82.456140351,82.456140351
"37","Lommis","Lommis","Lommis","TG",17.590361446,"Lommis","Lommis","Lommis","TG","TG","TG",82.409638554,82.409638554,82.409638554
"38","Schmitten (GR)","Schmitten GR","Schmitten GR","GR",17.647058824,"Schmitten (GR)","Schmitten GR","Schmitten GR","GR","GR","GR",82.352941176,82.352941176,82.352941176
"39","Samnaun","Samnaun","Samnaun","GR",17.766497462,"Samnaun","Samnaun","Samnaun","GR","GR","GR",82.233502538,82.233502538,82.233502538
"40","Unteriberg","Unteriberg","Unteriberg","SZ",17.780172414,"Unteriberg","Unteriberg","Unteriberg","SZ","SZ","SZ",82.219827586,82.219827586,82.219827586
"41","Erlenbach (ZH)","Erlenbach ZH","Erlenbach ZH","ZH",17.797752809,"Erlenbach (ZH)","Erlenbach ZH","Erlenbach ZH","ZH","ZH","ZH",82.202247191,82.202247191,82.202247191
"42","Borex","Borex","Borex","VD",17.857142857,"Borex","Borex","Borex","VD","VD","VD",82.142857143,82.142857143,82.142857143
"43","Homburg","Homburg","Homburg","TG",17.966101695,"Homburg","Homburg","Homburg","TG","TG","TG",82.033898305,82.033898305,82.033898305
"44","Saas-Almagell","Saas-Almagell","Saas-Almagell","VS",18.032786885,"Saas-Almagell","Saas-Almagell","Saas-Almagell","VS","VS","VS",81.967213115,81.967213115,81.967213115
"45","Zumikon","Zumikon","Zumikon","ZH",18.105726872,"Zumikon","Zumikon","Zumikon","ZH","ZH","ZH",81.894273128,81.894273128,81.894273128
"46","Pontresina","Pontresina","Pontresina","GR",18.241042345,"Pontresina","Pontresina","Pontresina","GR","GR","GR",81.758957655,81.758957655,81.758957655
"47","Jenaz","Jenaz","Jenaz","GR",18.309859155,"Jenaz","Jenaz","Jenaz","GR","GR","GR",81.690140845,81.690140845,81.690140845
"48","Beinwil (Freiamt)","Beinwil (Freiamt)","Beinwil (Freiamt)","AG",18.403547672,"Beinwil (Freiamt)","Beinwil (Freiamt)","Beinwil (Freiamt)","AG","AG","AG",81.596452328,81.596452328,81.596452328
"49","Stalden (VS)","Stalden VS","Stalden VS","VS",18.403547672,"Stalden (VS)","Stalden VS","Stalden VS","VS","VS","VS",81.596452328,81.596452328,81.596452328
"50","Waldkirch","Waldkirch","Waldkirch","SG",18.540580789,"Waldkirch","Waldkirch","Waldkirch","SG","SG","SG",81.459419211,81.459419211,81.459419211
